X,Y,Z,Flex1,Flex2,Flex3,Flex4,Flex5,X,Y,Z,Flex1,Flex2,Flex3,Flex4,Flex5,Label
6.04,3.06,3.77,1158,1295,118,0,1383,-11.34,1.1,-1.02,931,1169,1635,1056,450,CAR
6.86,3.65,3.45,1166,1271,107,0,1376,-11.73,0.98,-1.14,933,1158,1632,1070,449,CAR
8.67,3.1,2.67,1154,1296,117,0,1395,-11.61,0.63,-0.78,947,1155,1630,1055,443,CAR
9.06,2.67,0.63,1165,1274,111,0,1369,-9.96,1.06,0.35,955,1163,1627,1074,445,CAR
9.73,2.51,-0.2,1169,1298,111,0,1396,-9.18,1.49,1.53,944,1156,1641,1059,446,CAR
12.12,1.53,-0.94,1158,1282,106,0,1374,-8.51,1.18,2.94,935,1168,1641,1065,445,CAR
12.79,1.77,-0.63,1168,1287,111,0,1382,-7.34,1.57,3.37,937,1152,1647,1064,439,CAR
12.79,2.31,0.43,1163,1296,108,0,1379,-6.67,1.45,3.41,946,1165,1648,1056,443,CAR
11.06,2.75,1.06,1150,1297,113,0,1395,-6.83,1.61,2.51,943,1175,1657,1070,442,CAR
9.57,3.22,2,1172,1271,110,0,1377,-8.43,1.73,0.86,939,1156,1651,1060,441,CAR
6.59,2.9,2.47,1168,1271,108,0,1373,-9.89,1.73,-1.29,944,1161,1648,1073,443,CAR
6.16,2.75,2.82,1178,1282,112,0,1375,-10.36,1.14,-1.26,943,1169,1650,1078,444,CAR
7.45,3.53,3.57,1161,1296,112,0,1396,-9.96,0.71,-0.71,945,1163,1629,1069,442,CAR
7.53,3.22,4.28,1165,1294,111,0,1380,-9.69,0.27,0.2,924,1183,1642,1068,448,CAR
7.96,3.69,4.94,1168,1296,113,0,1402,-8.32,0.55,1.96,947,1205,1655,1071,443,CAR
8.04,3.57,6.59,1156,1277,112,0,1378,-8.87,0.75,3.49,942,1217,1648,1083,448,CAR
7.73,3.06,7.34,1174,1280,112,0,1381,-8.9,0.39,4.47,949,1247,1661,1074,442,CAR
7.18,2.51,8.16,1152,1280,129,0,1395,-8.39,0.08,6.28,944,1258,1657,1092,441,CAR
6.59,1.53,9.26,1148,1278,114,0,1386,-7.34,-0.24,7.37,959,1266,1669,1077,445,CAR
5.69,0.31,9.77,1165,1271,115,0,1373,-7.37,-1.37,8.9,914,1258,1649,1085,446,CAR
5.33,-0.94,10.08,1150,1284,142,0,1381,-7.14,-1.96,9.18,947,1264,1667,1090,445,CAR
4.2,-2.12,9.89,1168,1289,123,0,1399,-6.75,-2.12,9.06,961,1267,1654,1101,448,CAR
6.2,-1.57,12.4,1153,1297,123,0,1367,-5.22,-2.75,9.06,950,1286,1662,1095,451,CAR
4.31,-2.35,8.98,1149,1296,128,0,1383,-7.18,-3.1,10.51,945,1279,1662,1072,447,CAR
4.39,-2.75,10.79,1181,1270,127,0,1375,-4.98,-3.65,8.63,951,1296,1673,1087,447,CAR
3.18,-3.1,9.96,1175,1278,123,0,1382,-4.86,-3.73,9.45,956,1293,1673,1095,448,CAR
3.96,-2.94,9.92,1158,1303,122,0,1395,-4.86,-3.88,9.1,950,1292,1667,1088,447,CAR
3.8,-2.94,9.96,1150,1280,125,0,1403,-4.94,-3.84,9.3,963,1279,1661,1093,448,CAR
3.84,-2.9,9.85,1172,1273,122,0,1393,-4.75,-3.77,9.26,965,1286,1671,1085,449,CAR
3.88,-2.9,9.81,1168,1286,128,0,1391,-4.71,-3.8,9.18,971,1290,1671,1087,447,CAR
3.84,-2.86,9.85,1167,1282,130,0,1377,-5.18,-3.96,9.41,961,1282,1672,1094,450,CAR
4.04,-2.82,9.92,1174,1294,123,0,1381,-4.79,-3.8,9.14,960,1293,1678,1106,450,CAR
3.92,-2.79,9.96,1151,1287,124,0,1379,-4.79,-3.96,9.38,953,1295,1659,1099,448,CAR
4.9,-2.94,9.96,1155,1278,129,0,1378,-5.3,-3.61,9.34,951,1287,1671,1106,449,CAR
3.8,-3.18,9.73,1166,1293,125,0,1388,-4.9,-3.8,9.1,955,1289,1664,1087,446,CAR
4.94,-2.51,10.16,1179,1276,125,0,1403,-5.92,-3.8,8.79,960,1289,1663,1103,448,CAR
6.16,-2.86,9.81,1177,1289,122,0,1377,-6.59,-3.49,8.43,963,1281,1665,1069,448,CAR
7.65,-2.35,9.41,1126,1305,118,0,1402,-7.53,-3.22,7.73,976,1291,1673,1101,447,CAR
6.67,-1.53,9.41,1146,1289,123,0,1393,-8.59,-2.51,6.59,965,1282,1678,1103,447,CAR
7.92,-1.37,8.79,1152,1287,133,0,1391,-9.14,-2.16,5.81,949,1293,1657,1102,448,CAR
6.79,0.12,7.77,1152,1271,128,0,1386,-8,-1.45,5.18,951,1295,1664,1100,446,CAR
