X,Y,Z,Flex1,Flex2,Flex3,Flex5,X,Y,Z,Flex1,Flex2,Flex3,Flex4,Flex5,Label
-0.43,1.33,10.4,1161,1282,129,1397,1.77,1.06,11.61,1008,1339,1701,1084,699,DARK
-0.27,1.26,10.63,1168,1299,127,1385,1.92,0.86,11.73,1012,1335,1697,1089,695,DARK
-0.59,0.94,10.75,1179,1281,130,1376,2.28,0.67,11.3,1017,1336,1693,1095,693,DARK
-0.08,1.1,10.43,1168,1286,128,1381,2.04,0.75,10.94,1019,1343,1685,1090,691,DARK
0.08,1.49,9.92,1175,1299,132,1379,1.37,1.06,11.14,1008,1341,1708,1094,695,DARK
-0.12,2.63,9.89,1163,1312,131,1378,1.45,0.75,10.98,1015,1335,1664,1089,687,DARK
-0.35,3.1,9.61,1166,1279,128,1380,1.06,0.71,11.49,1008,1339,1683,1088,688,DARK
0.31,3.61,8.79,1183,1286,128,1392,0,1.1,11.41,1011,1331,1680,1091,675,DARK
0.08,4.67,8.36,1165,1287,126,1388,0.86,1.65,10.94,1014,1338,1693,1087,679,DARK
2,5.18,8.87,1171,1300,128,1381,-0.94,1.57,10.63,1023,1297,1673,1098,686,DARK
2.16,6.24,8.16,1155,1288,128,1390,-2.04,1.96,10.83,1008,1338,1686,1096,691,DARK
5.3,6.2,7.96,1168,1293,133,1378,-2.63,1.77,10.9,1008,1334,1690,1098,698,DARK
4.08,5.37,7.22,1163,1291,127,1379,-2.35,0.51,10.98,1001,1339,1691,1116,709,DARK
3.96,4.75,7.73,1179,1280,127,1387,-3.22,0.2,11.06,1006,1325,1696,1091,709,DARK
5.26,4.79,9.34,1169,1302,131,1377,-4.16,-0.27,11.41,1018,1323,1680,1070,688,DARK
4.82,3.26,8.83,1166,1289,131,1398,-3.88,-0.78,11.3,996,1330,1680,1091,692,DARK
5.49,2.47,9.53,1162,1282,127,1379,-4.31,-1.37,10.83,1006,1336,1697,1102,604,DARK
4,-0.43,10.9,1175,1299,131,1380,-4.28,-2,10.59,1006,1345,1686,1097,681,DARK
4.43,0,10.83,1167,1308,132,1376,-4.2,-3.02,10.75,1018,1335,1686,1091,337,DARK
3.22,0.08,11.92,1159,1282,128,1380,-4.12,-3.26,11.65,991,1331,1693,1084,734,DARK
3.84,-1.73,9.77,1162,1280,126,1382,-3.88,-2.67,9.96,1008,1343,1695,1090,695,DARK
3.02,-1.53,10.47,1164,1283,128,1392,-3.53,-4.08,9.06,1014,1350,1684,1092,695,DARK
4.39,-1.1,10.24,1159,1300,128,1379,-3.84,-3.22,10,1010,1340,1680,1087,703,DARK
3.73,-0.9,10.36,1165,1299,126,1382,-4,-3.45,9.73,1007,1329,1696,1085,715,DARK
3.92,-1.02,10.12,1163,1307,133,1381,-4.12,-3.41,9.77,1010,1329,1687,1085,677,DARK
3.8,-1.06,10.12,1160,1296,128,1378,-4.04,-3.37,9.77,1015,1333,1687,1087,674,DARK
4.12,-0.9,10.12,1159,1293,126,1377,-4.12,-3.45,9.85,1017,1329,1687,1099,691,DARK
4.79,-0.82,10.24,1171,1296,128,1381,-3.8,-3.49,9.96,1008,1337,1696,1093,679,DARK
3.1,-1.29,10.28,1164,1282,126,1382,-3.69,-4.12,9.45,1008,1331,1685,1075,677,DARK
3.1,-1.33,10.28,1166,1290,126,1387,-3.41,-2.79,10.32,1023,1349,1697,1098,566,DARK
2.55,-1.53,11.14,1158,1283,124,1389,-4.2,-2.67,11.14,1001,1335,1682,1088,672,DARK
2.08,1.73,12,1155,1297,123,1395,-5.77,-2.55,11.41,1013,1329,1686,1104,727,DARK
6.08,3.57,11.92,1174,1305,128,1375,-7.06,-2.47,10.32,1013,1349,1698,1098,958,DARK
7.22,4.79,9.26,1179,1294,126,1391,-7.65,-0.51,9.1,1001,1329,1691,1095,947,DARK
7.37,4.82,6.55,1171,1296,122,1382,-7.65,0.82,9.26,1009,1327,1695,1087,831,DARK
8.08,6.39,5.22,1177,1306,129,1403,-6.39,2.47,9.34,1006,1330,1687,1075,747,DARK
6.28,7.88,2.82,1166,1286,127,1403,-6.71,4.71,9.38,1013,1341,1700,1087,704,DARK
6.32,8.63,3.26,1164,1285,128,1402,-5.92,4.35,8.71,1009,1328,1698,1097,465,DARK
4.86,8.32,3.1,1178,1282,128,1377,-4.47,5.26,8.12,1009,1331,1687,1069,441,DARK
3.92,9.14,2.43,1165,1301,129,1377,-3.49,5.26,7.88,1010,1319,1699,1086,704,DARK
2.94,7.57,2.47,1181,1283,127,1379,-0.94,4.43,7.85,1006,1328,1689,1088,597,DARK
1.33,5.73,4.08,1168,1285,124,1382,0.31,3.49,7.96,995,1328,1699,1085,695,DARK
-0.51,3.96,4.94,1166,1305,128,1379,1.1,2.55,9.06,1011,1329,1680,1100,781,DARK
-2.9,4.08,8.04,1174,1283,128,1383,2.79,2.04,11.92,1022,1331,1695,1104,709,DARK
-1.65,3.06,8.63,1159,1283,129,1387,3.3,0.78,11.18,1023,1328,1682,1087,698,DARK
