configsip: 0, SPIWP:0xee,3,1067,433,TEACHER,,,,,,,,,,,,
clk_drv:0x00,q_drv:0x00,d_drv:0x00,cs0_drv:0x00,hd_drv:0x00,wp_drv:0x00,3,1067,433,TEACHER,,,,,,,,
mode:DIO, clock div:1,3,1067,433,TEACHER,,,,,,,,,,,,
load:0x3fff0030,len:4888,3,1067,433,TEACHER,,,,,,,,,,,,
load:0x40078000,len:16456,3,1067,433,TEACHER,,,,,,,,,,,,
load:0x40080400,len:4,3,1067,433,TEACHER,,,,,,,,,,,,
load:0x40080404,len:3476,3,1067,433,TEACHER,,,,,,,,,,,,
X,Y,Z,Flex1,Flex2,Flex3,Flex4,Flex5,Label,3,1067,433,TEACHER,,,,,
4.63,-3.69,8.9,1167,1280,126,0,1379,TEACHER,-3.3,-4.67,9.73,977,1360,1676,1099,437,TEACHER
4.47,-2.75,9.69,1168,1305,120,0,1378,TEACHER,-3.57,-4.39,9.69,977,1360,1670,1093,437,TEACHER
4.2,-3.02,9.38,1159,1306,118,0,1382,TEACHER,-3.73,-4.63,9.77,987,1353,1678,1095,439,TEACHER
5.06,-2.39,9.81,1154,1279,119,0,1379,TEACHER,-6.04,-4.51,10.98,1002,1349,1675,1088,440,TEACHER
6.71,-1.69,12,1152,1281,130,0,1393,TEACHER,-6.67,-1.22,9.1,1014,1355,1643,1071,433,TEACHER
10.28,-1.61,11.41,1153,1282,119,0,1406,TEACHER,-7.1,-0.08,8.08,1038,1357,1605,1044,432,TEACHER
8.94,0,8.59,1166,1285,112,0,1394,TEACHER,-7.61,0.08,6.43,1069,1357,1591,1033,432,TEACHER
7.77,1.02,5.22,1181,1283,101,0,1379,TEACHER,-7.77,-0.9,5.18,1092,1335,1535,1004,430,TEACHER
6.32,2.24,3.41,1157,1287,94,0,1380,TEACHER,-8,-0.59,4.31,1072,1337,1555,1011,430,TEACHER
6.08,2.47,3.06,1175,1295,86,0,1381,TEACHER,-9.41,-0.24,4.47,1087,1329,1535,1007,432,TEACHER
6.59,2.71,3.92,1157,1281,86,0,1403,TEACHER,-11.61,0.35,5.18,1071,1315,1559,1017,433,TEACHER
9.06,3.3,3.92,1163,1284,85,0,1408,TEACHER,-8.16,1.45,4.9,1066,1318,1535,1010,435,TEACHER
13.96,5.22,3.77,1184,1302,96,0,1385,TEACHER,-5.73,2.43,2.08,1040,1335,1555,1021,432,TEACHER
11.81,3.69,2.9,1186,1291,85,0,1376,TEACHER,-10.9,0.27,3.33,1051,1328,1561,1013,431,TEACHER
6.71,4.35,2.08,1177,1279,94,0,1386,TEACHER,-13.53,1.1,3.57,1047,1334,1535,1005,431,TEACHER
8.28,2.86,2.55,1168,1286,95,0,1377,TEACHER,-10.16,1.49,3.57,1045,1328,1535,1003,432,TEACHER
7.69,4.16,2.08,1167,1285,89,0,1381,TEACHER,-8.67,0.55,2.9,1023,1328,1535,1008,432,TEACHER
9.77,3.53,2.51,1158,1280,92,0,1383,TEACHER,-7.77,1.77,4.63,1043,1339,1557,1007,430,TEACHER
9.61,2.98,2.79,1153,1292,91,0,1406,TEACHER,-6.98,0.59,6.51,1046,1343,1535,1002,430,TEACHER
10.51,2.75,3.49,1169,1280,96,0,1409,TEACHER,-7.49,-0.24,7.61,1040,1346,1579,1019,432,TEACHER
6.63,2.71,3.88,1153,1309,104,0,1387,TEACHER,-5.37,-1.26,8.59,1043,1351,1609,1042,435,TEACHER
4.86,3.14,2.94,1185,1309,107,0,1382,TEACHER,-6.04,-2.28,9.73,1011,1360,1648,1067,434,TEACHER
7.85,2.79,5.02,1153,1276,112,0,1402,TEACHER,-4.16,-2.63,10.24,978,1359,1651,1059,442,TEACHER
