X,Y,Z,Flex1,Flex2,Flex3,Flex5,X,Y,Z,Flex1,Flex2,Flex3,Flex4,Flex5,Label
5.81,8.08,1.84,1168,1302,129,1381,-7.26,6.94,2.31,1008,1312,1699,1103,607,TREE
3.8,8.67,2.08,1175,1307,124,1381,-6.08,7.41,1.73,1001,1315,1710,1101,609,TREE
3.45,8.94,1.61,1174,1287,134,1378,-4.94,7.57,1.8,998,1323,1705,1091,609,TREE
1.84,8.79,0.47,1155,1273,128,1367,-3.96,8,1.06,988,1319,1701,1098,611,TREE
1.49,8.39,-0.39,1157,1296,128,1395,-3.8,8.47,0.35,1011,1323,1687,1099,612,TREE
1.37,8.39,-0.47,1163,1278,131,1370,-3.53,8.24,-0.75,991,1328,1691,1105,608,TREE
1.41,9.14,-0.71,1175,1282,127,1379,-2.82,8.24,-1.1,991,1342,1711,1102,608,TREE
1.14,9.57,-0.39,1161,1302,128,1390,-2.98,8.94,-0.59,995,1329,1697,1107,609,TREE
1.33,8.71,0.94,1165,1300,135,1395,-3.3,9.22,0,983,1323,1694,1100,609,TREE
1.96,7.65,2.08,1150,1283,133,1375,-3.37,7.65,1.41,996,1341,1698,1104,608,TREE
2.86,7.14,3.73,1171,1289,121,1394,-4.47,7.61,3.33,991,1325,1712,1098,609,TREE
3.49,5.81,4.9,1155,1284,128,1387,-4.9,6.9,4.55,995,1327,1691,1095,609,TREE
5.53,5.92,6.35,1155,1294,128,1381,-5.84,5.33,6.28,1011,1328,1699,1088,608,TREE
6.47,5.26,8.36,1163,1302,131,1381,-7.18,3.61,7.1,997,1328,1709,1092,610,TREE
5.88,3.8,9.57,1165,1311,126,1386,-8.47,2.47,8.51,1003,1323,1690,1104,614,TREE
2.82,0.67,7.3,1158,1287,123,1386,-7.73,1.37,9.02,996,1329,1697,1089,611,TREE
5.92,0.98,9.61,1147,1309,130,1393,-6.43,-0.2,8.51,1007,1311,1699,1102,610,TREE
5.61,-0.51,10.2,1158,1277,130,1373,-6.35,-1.92,9.38,1008,1315,1703,1089,610,TREE
4.94,-1.84,10.04,1168,1281,137,1372,-5.84,-2.79,10.16,1009,1328,1696,1101,608,TREE
4.31,-1.61,10.98,1166,1280,131,1395,-5.33,-3.8,9.49,1007,1326,1702,1087,611,TREE
5.1,-2.24,9.1,1163,1279,129,1376,-4.51,-4.39,9.38,1010,1312,1694,1090,611,TREE
2.59,-3.02,10.47,1171,1286,124,1396,-8.71,-5.84,12.08,1014,1328,1686,1091,611,TREE
3.41,-3.06,10.24,1157,1280,128,1376,-2.79,-4.79,9.53,1009,1328,1703,1104,610,TREE
2.94,-3.37,9.89,1169,1285,128,1377,-3.14,-4.59,10.04,1013,1329,1700,1102,614,TREE
3.53,-2.75,10,1167,1279,128,1375,-2.2,-4.9,9.57,1009,1335,1707,1099,614,TREE
3.61,-2.67,10,1170,1279,128,1379,-5.18,-4.59,10.24,1008,1327,1698,1099,613,TREE
4.08,-2.39,9.96,1157,1293,131,1397,-7.1,-2.9,9.26,998,1326,1685,1091,611,TREE
3.96,-2.47,10,1149,1291,134,1395,-7.37,-2.04,7.26,999,1323,1714,1093,610,TREE
3.92,-2.47,10,1165,1271,127,1377,-9.73,-1.49,5.96,976,1330,1690,1093,612,TREE
4.08,-2.43,9.92,1168,1281,134,1377,-9.06,0.27,4.47,1001,1319,1691,1094,610,TREE
4.16,-2.28,9.89,1152,1282,130,1363,-8.04,1.8,3.69,1003,1327,1712,1090,607,TREE
4.2,-2.39,9.85,1162,1285,123,1401,-11.61,0.24,1.53,1015,1328,1723,1104,610,TREE
4.35,-2.28,9.92,1183,1277,128,1371,-9.41,2.12,0.27,1011,1329,1697,1102,613,TREE
4.28,-2.43,9.89,1162,1281,129,1375,-8.32,2.82,0.35,1008,1329,1703,1099,612,TREE
4.31,-2.28,9.77,1162,1292,134,1379,-8.59,2.94,1.33,1005,1333,1711,1093,612,TREE
4.35,-2.2,9.85,1154,1285,129,1386,-8.59,2.75,1.84,1023,1328,1705,1106,615,TREE
4.59,-2.08,9.85,1171,1277,134,1378,-8.59,2.67,1.61,1018,1329,1706,1093,613,TREE
4.28,-2.28,9.85,1161,1283,128,1390,-9.92,2.98,0.9,976,1332,1696,1110,612,TREE
4.47,-2.24,9.89,1159,1285,128,1376,-9.41,3.41,1.33,982,1334,1693,1107,611,TREE
4.39,-2.16,9.96,1165,1283,130,1378,-8.79,3.14,0.75,996,1337,1712,1114,614,TREE
3.88,-2.12,10.04,1174,1278,133,1381,-9.02,2.43,1.26,1005,1337,1705,1099,611,TREE
5.18,-2.04,9.65,1161,1280,129,1382,-8.47,1.1,1.61,1001,1340,1713,1097,611,TREE
6.59,-0.94,9.65,1175,1293,131,1375,-8.98,0.94,1.06,1023,1328,1698,1105,613,TREE
6.94,-1.06,9.49,1157,1275,128,1395,-9.3,0.2,0.47,1006,1335,1711,1102,612,TREE
6.71,-0.31,8.87,1168,1285,132,1379,-10.24,0.2,2.2,1002,1338,1693,1099,614,TREE
7.41,0.71,7.53,1165,1280,130,1381,-9.45,-0.04,3.73,1010,1328,1707,1091,613,TREE
8.55,2.12,6.12,1159,1302,132,1392,-9.45,0.24,5.41,1008,1338,1701,1099,614,TREE
8.28,2.79,5.92,1166,1277,126,1392,-9.53,0.31,5.22,1011,1328,1696,1102,609,TREE
7.69,3.26,5.77,1153,1283,128,1384,-9.41,0.9,5.45,1008,1332,1695,1101,608,TREE
7.37,3.8,5.53,1163,1278,131,1373,-9.85,1.53,5.65,1008,1331,1698,1088,610,TREE
9.02,4.59,5.26,1150,1302,130,1374,-8.83,2.31,5.69,989,1342,1695,1103,609,TREE
8.79,5.57,4.71,1157,1301,129,1394,-9.26,3.69,4.67,981,1332,1686,1093,611,TREE
8.32,6.35,3.96,1166,1281,137,1374,-9.06,4.35,3.41,982,1328,1689,1094,613,TREE
8.08,7.26,3.3,1155,1280,129,1380,-9.61,5.14,3.18,1005,1345,1712,1104,611,TREE
7.61,6.98,2.63,1150,1303,130,1406,-9.57,5.92,2.67,985,1339,1706,1087,609,TREE
5.57,7.37,1.96,1167,1274,131,1398,-7.69,6.39,2.12,989,1333,1702,1104,609,TREE
4,8.28,1.18,1158,1297,138,1394,-6.79,7.22,1.84,997,1343,1687,1102,613,TREE
3.57,9.06,0.51,1169,1282,130,1371,-5.26,7.73,1.1,996,1344,1712,1098,611,TREE
